,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
38,659756493345357056,659756493345357056,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212654477509,08374235+1908015,J083742.33+190801.4,-9223372036854775808,129.42651004629624,19.13377174026606,9.687124,9.947457,9.303324,5.382581884102439,0.035369337,1.9377162,2501775.950426919,545.80975,331,9.691746,9.93222,9.296245,183.14308,184.26492,185.3107,183.41241,184.69504,185.85255,6377776811126819261,13.9829,0.0074,0,6377776811126819261,19.3951,0.1416,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08374235+1908015,8.915,0.044,8.648,0.053,8.577,0.02,AAA,112,111,000,1,J083742.33+190801.4,8.546,0.024,8.591,0.021,8.575,0.036,7.947,0.389,0000,0,AAAC,5744.0,,,,,,,,,,,,,,,,
41,661779796602531712,661779796602531712,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667142326353930,08453049+2035245,J084530.46+203524.4,-9223372036854775808,131.37705007242457,20.590166182579296,9.720362,9.962874,9.357484,5.440263475795606,0.0237709,1.0595291,2424288.5691496907,422.25424,399,9.725906,9.949029,9.3495,182.1018,182.8301,183.6074,181.98221,182.80305,183.58443,-9223372036854775808,,,-32768,6377706360778262927,19.5355,0.1427,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08453049+2035245,8.983,0.023,8.819,0.04,8.765,0.02,AAA,112,111,000,1,J084530.46+203524.4,8.716,0.023,8.738,0.021,8.709,0.043,8.121,,0000,0,AAAU,4644.0,,,,,,,,,,,,,,,,
43,662215551101680128,662215551101680128,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107427188830,08311296+1809132,J083112.93+180913.0,-9223372036854775808,127.8040061054511,18.15365031093421,9.74792,9.998665,9.377244,5.500165990320541,0.016894922,0.899185,2364104.982574905,440.50977,316,9.7532,9.983325,9.368098,180.12776,180.65077,181.12317,180.44475,180.87947,181.38106,-9223372036854775808,,,-32768,6377776805758108611,19.366,0.1429,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08311296+1809132,9.016,0.035,8.771,0.021,8.744,0.02,AAA,112,111,000,1,J083112.93+180913.0,8.709,0.022,8.733,0.02,8.719,0.03,8.724,,h000,0,AAAU,5633.0,,,,,,,,,,,,,,,,
46,658628905514597376,658628905514597376,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667210507387028,08441195+1754079,J084411.93+175407.7,-9223372036854775808,131.04984498280956,17.902184520785312,9.814334,10.068524,9.441104,5.31650205198934,0.019197967,1.0765786,2223875.0723832413,355.13208,505,9.819591,10.052826,9.432242,186.3446,187.007,187.76227,186.04082,186.8393,187.42024,6377811908525820381,14.3826,0.0078,1,6377811908525820381,19.977,0.1765,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08441195+1754079,9.049,0.027,8.836,0.044,8.776,0.02,AAA,112,111,000,1,J084411.93+175407.7,8.762,0.022,8.794,0.02,8.786,0.034,7.97,,0000,0,AAAU,1122.0,,,,,,,,,,,,,,,,
47,676256486390524288,676256486390524288,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237664836462772316,08243304+2144219,J082433.02+214421.8,-9223372036854775808,126.13766798315494,21.7394276677472,9.844022,10.086661,9.477533,5.268459269382103,0.01603142,0.9573279,2166875.742546702,438.62747,378,9.847782,10.071961,9.47026,187.93059,188.53883,189.10838,188.08444,188.68802,189.31226,6377776771398375130,14.2153,0.0038,1,6377776771398375130,19.4599,0.1278,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08243304+2144219,9.079,0.026,8.89,0.017,8.856,0.02,AAA,112,111,000,1,J082433.02+214421.8,8.83,0.023,8.842,0.019,8.823,0.03,8.595,0.451,0000,0,AAAC,1100.0,,,,,,,,,,,,,,,,
49,660957980380034688,660957980380034688,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211581259856,08434815+1848028,J084348.12+184802.6,-9223372036854775808,130.9506249170345,18.80074890847863,9.979712,10.240148,9.593671,5.404358939561922,0.018856004,1.1790738,1911780.521673293,294.89066,570,9.983771,10.225441,9.585445,183.17133,183.85628,184.55652,183.3814,184.0026,184.71112,6377811907452078742,14.4397,0.009,0,6377811907452078742,20.363,0.2128,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08434815+1848028,9.189,0.022,8.967,9.998,8.927,0.02,AFA,212,111,000,1,J084348.12+184802.6,8.879,0.022,8.906,0.02,8.872,0.038,7.684,0.268,0000,0,AAAB,1122.0,,,,,,,,,,,,,,,,
51,661190015991474688,661190015991474688,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212117803143,08400171+1859595,J084001.67+185959.3,-9223372036854775808,130.00709962788656,18.99983919322863,10.039619,10.389878,9.570685,5.436823716326426,0.018215299,0.8888696,1831387.183562003,10400.4795,311,10.0304165,10.360586,9.548475,182.08495,182.75554,183.37265,182.1513,182.77443,183.49469,6377811898862144142,15.0945,0.012,0,6377811898862144142,19.9436,0.1569,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08400171+1859595,9.053,0.02,8.767,0.027,8.698,0.018,AAA,112,111,000,1,J084001.67+185959.3,8.605,0.023,8.626,0.019,8.584,0.03,7.935,,0000,0,AAAU,5744.0,ASASSN-V J084001.79+185959.5,10.17,0.66,,VAR     ,0.49,,,,,,,,,,
54,659439078082230016,659439078082230016,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667253993341168,08391096+1810335,J083910.93+181033.4,-9223372036854775808,129.79569528591094,18.17598854405805,10.114675,10.401894,9.703069,5.623993783014824,0.017747743,0.9169412,1689495.8936561658,546.8611,341,10.117974,10.385915,9.692779,176.15933,176.68123,177.16502,176.32912,176.91708,177.51193,6377811899935887434,15.0014,0.005,0,6377811899935887434,20.7641,0.2142,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08391096+1810335,9.307,0.034,9.07,0.021,8.994,0.02,AAA,122,111,000,1,J083910.93+181033.4,8.937,0.023,8.972,0.02,8.96,0.039,7.876,,0000,0,AAAU,4644.0,,,,,,,,,,,,,,,,
59,661766778557840000,661766778557840000,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107965763659,08450422+2021278,J084504.19+202127.7,-9223372036854775808,131.2676145182075,20.357741325654192,10.244328,10.523946,9.832527,5.593809539954151,0.035427213,1.7683729,1501239.7520685948,363.5021,476,10.246242,10.509762,9.823963,176.22136,177.28152,178.4591,176.44203,177.4928,178.5428,6377706360778262097,14.9407,0.0119,0,6377706360778262097,20.745,0.261,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08450422+2021278,9.389,0.02,9.171,0.024,9.13,0.019,AAA,222,111,000,1,J084504.19+202127.7,9.076,0.023,9.099,0.02,9.034,0.046,8.083,,0000,0,AAAU,3333.0,,,,,,,,,,,,,,,,
60,660225916090501376,660225916090501376,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667253457453190,08480173+1840376,J084801.71+184037.5,-9223372036854775808,132.00724450988633,18.67712320333364,10.246216,10.6058235,9.749912,5.476848052881587,0.018239684,0.9372765,1495906.550562688,616.0093,416,10.250106,10.589467,9.740855,180.80095,181.36325,182.03094,180.7794,181.39485,182.1764,6377811918189497629,15.6726,0.0155,0,6377811918189497629,20.5839,0.2412,0,12.22267,0.016363,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08480173+1840376,9.228,0.022,8.907,0.028,8.806,0.023,AAA,222,111,000,1,J084801.71+184037.5,8.748,0.023,8.783,0.02,8.732,0.03,8.584,,0000,0,AAAU,1122.0,ASASSN-V J084801.89+184036.9,10.4,0.44,795.3620653,VAR     ,0.63,,,,,,,,,,
61,659472235229782912,659472235229782912,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211580997758,08413154+1830021,J084131.51+183002.1,-9223372036854775808,130.3814072588914,18.50061905287419,10.261184,10.549884,9.842318,5.4937110173796935,0.021821102,0.99493265,1478489.6717730437,475.72842,451,10.262821,10.532958,9.832489,180.20381,180.93195,181.81967,180.25894,181.0075,181.66539,6377811898862142221,15.0438,0.0123,0,6377811898862142221,20.551,0.2426,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08413154+1830021,9.364,0.022,9.143,0.023,9.105,0.021,AAA,222,111,000,1,J084131.51+183002.1,9.066,0.023,9.101,0.02,9.127,0.039,8.591,,0000,0,AAAU,4644.0,,,,,,,,,,,,,,,,
67,661207024061875456,661207024061875456,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107428106389,08391217+1906561,J083912.14+190656.0,-9223372036854775808,129.80071894495185,19.115612815273057,10.44719,10.747407,10.014978,5.418459313777593,0.019239066,0.9267409,1247034.5718425687,625.02545,269,10.447671,10.73025,10.003979,182.87688,183.4934,184.2022,182.90784,183.51144,184.17049,6377811898862144557,15.4686,0.0138,1,6377811898862144557,20.9302,0.2778,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08391217+1906561,9.555,0.02,9.313,0.021,9.258,0.018,AAA,222,111,000,1,J083912.14+190656.0,9.201,0.024,9.256,0.02,9.248,0.055,7.864,,0000,0,AAAU,5744.0,,,,,,,,,,,,,,,,
69,610194902914961664,610194902914961664,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667429016010820,08471411+1623473,J084714.09+162347.1,-9223372036854775808,131.80883623737594,16.39648019975082,10.509566,10.816558,10.0700445,5.446356444120792,0.019698918,1.1571887,1175527.9271138806,518.99506,440,10.511785,10.803334,10.061927,182.02477,182.58305,183.14026,181.89801,182.62825,183.33412,6377811931074397648,15.5427,0.0155,0,6377811931074397648,21.8336,0.4623,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08471411+1623473,9.561,0.022,9.339,0.027,9.294,0.018,AAA,222,111,000,1,J084714.09+162347.1,9.231,0.023,9.274,0.02,9.237,0.038,8.435,0.361,0000,0,AAAC,1111.0,,,,,,,,,,,,,,,,
72,659665096441437184,659665096441437184,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212117540915,08373307+1839156,J083733.05+183915.5,-9223372036854775808,129.3878251339575,18.654334785627206,10.531589,10.842387,10.084978,5.541342618185383,0.01947381,0.8089702,1153266.6670921822,400.47653,271,10.532542,10.828239,10.077238,178.72812,179.28593,179.92719,178.58844,179.36557,180.08054,6377776811126817465,15.7176,0.0167,0,6377776811126817465,21.8286,0.4779,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08373307+1839156,9.621,0.027,9.347,0.034,9.283,0.022,AAA,222,111,000,1,J083733.05+183915.5,9.253,0.022,9.307,0.02,9.557,0.126,6.952,,0000,0,AABU,4644.0,,,,,,,,,,,,,,,,
75,659687498990893056,659687498990893056,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212117737622,08393553+1852367,J083935.51+185236.6,-9223372036854775808,129.89808191705876,18.876875264850515,10.580589,10.892101,10.137804,5.45198153920533,0.017486112,0.9408642,1102099.6155145513,426.95935,352,10.581815,10.876499,10.127614,181.92331,182.41682,182.99425,181.82639,182.35783,182.9429,6377811898862143640,15.7099,0.0161,0,6377811898862143640,22.1581,0.4477,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08393553+1852367,9.657,0.022,9.381,0.021,9.329,0.02,AAA,222,111,000,1,J083935.51+185236.6,9.297,0.023,9.334,0.02,9.352,0.058,8.293,,0000,0,AAAU,4644.0,,,,,,,,,,,,,,,,
