,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
126,661222279785743616,661222279785743616,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255067607129,08421149+1916373,J084211.47+191637.1,-9223372036854775808,130.54791196033096,19.27701041664745,11.928089,12.38725,11.33461,5.438696276555397,0.018364618,1.296237,319626.4489752089,165.00026,530,11.92576,12.359503,11.325395,181.83325,182.5543,183.10677,181.97084,182.67064,183.23534,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.40982,0.01891931,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08421149+1916373,10.66,0.022,10.242,0.019,10.173,0.016,AAA,222,111,000,1,J084211.47+191637.1,10.102,0.023,10.159,0.02,10.018,0.071,8.69,0.494,0000,0,AAAC,3333.0,,,,,,,,,,,,,,,,
129,659755630055476992,659755630055476992,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107427975293,08374739+1906247,J083747.36+190624.6,-9223372036854775808,129.4474646638749,19.106874751277267,12.026661,12.505101,11.414849,5.382425844330476,0.015034968,0.9295089,293313.73561904405,129.18362,347,12.019036,12.475515,11.405766,184.2288,184.80057,185.26389,184.29424,184.7467,185.41113,6377776811124722213,19.3606,0.0987,0,6377776811124722213,,,0,14.67356,0.02005232,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08374739+1906247,10.666,0.024,10.252,0.03,10.202,0.018,AAA,222,111,000,1,J083747.36+190624.6,10.144,0.022,10.21,0.02,10.065,0.152,7.72,,0000,0,AABU,5744.0,,,,,,,,,,,,,,,,
130,659436153207801344,659436153207801344,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667253993406655,08393752+1810134,J083937.48+181013.3,-9223372036854775808,129.90631075797893,18.17039503866864,12.051959,12.520341,11.449352,5.352637917039327,0.014111234,0.89339125,286752.771429755,118.57709,341,12.043598,12.489428,11.437575,185.43787,185.8668,186.29082,185.37282,185.832,186.46025,6377811899933790501,19.0895,0.0361,0,6377811899933790501,,,0,14.65048,0.01253767,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08393752+1810134,10.763,0.022,10.321,0.021,10.237,0.019,AAA,222,111,000,1,J083937.48+181013.3,10.193,0.023,10.255,0.02,10.269,0.092,8.624,,0000,0,AAAU,4644.0,,,,,,,,,,,,,,,,
131,665276415377154688,665276415377154688,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237673808122347549,08433880+2216093,J084338.77+221609.3,-9223372036854775808,130.91169517595546,22.269300293427204,12.070869,12.562875,11.4491005,5.768929365675886,0.021497095,1.4093652,280760.14083708805,137.16022,523,12.066528,12.5332575,11.4378195,171.82307,172.4732,173.15356,172.09245,172.73375,173.30441,6377776800389399794,19.2475,0.0853,0,6377776800389399794,21.712,0.4818,0,14.76491,0.0145377,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08433880+2216093,10.745,0.023,10.303,0.021,10.251,0.021,AAA,222,111,000,1,J084338.77+221609.3,10.135,0.023,10.192,0.02,10.22,0.097,8.24,,0000,0,AAAU,5644.0,,,,,,,,,,,,,,,,
132,660944717521395840,660944717521395840,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667253993930967,08441706+1844119,J084417.04+184411.7,-9223372036854775808,131.07111245599242,18.73660721046209,12.078376,12.550427,11.472759,5.429878287258102,0.020611279,1.2665277,279314.33873484045,106.58248,444,12.072134,12.520891,11.461147,182.60242,183.25429,183.89665,182.50879,183.28168,184.02655,6377811907449981558,19.1429,0.0876,0,6377811907449981558,,,0,14.70301,0.01224825,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08441706+1844119,10.766,0.023,10.35,0.025,10.262,0.018,AAA,222,111,000,1,J084417.04+184411.7,10.211,0.022,10.28,0.021,9.925,0.081,7.96,,0000,0,AAAU,1122.0,,,,,,,,,,,,,,,,
133,661338858079663488,661338858079663488,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107428630594,08433239+1944378,J084332.35+194437.6,-9223372036854775808,130.88494328466916,19.74382289532801,12.092301,12.578686,11.471881,5.609410577340912,0.025803935,1.4732033,275515.1296892623,122.19805,539,12.087004,12.549118,11.461689,176.72237,177.32552,178.13954,176.64001,177.42822,178.13358,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.74331,0.01562739,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08433239+1944378,10.755,0.023,10.32,0.021,10.218,0.022,AAA,222,111,000,1,J084332.35+194437.6,10.169,0.023,10.247,0.021,10.006,0.103,8.389,,0000,0,AAAU,3333.0,,,,,,,,,,,,,,,,
134,664283522018090496,664283526315590656,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667142325436445,08374640+1935575,J083746.38+193557.4,-9223372036854775808,129.443384337066,19.599297003152284,12.092326,12.574104,11.477835,5.56592354983729,0.015899027,0.87151825,276736.7597132258,124.59156,305,12.0822,12.544525,11.468743,178.30504,178.92343,179.57283,178.45792,178.85645,179.35757,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.72295,0.01660105,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08374640+1935575,10.725,0.026,10.341,0.032,10.244,0.018,AAA,222,111,000,1,J083746.38+193557.4,10.224,0.022,10.255,0.02,10.219,0.136,8.305,,0000,0,AABU,5744.0,,,,,,,,,,,,,,,,
136,661258872906952320,661258872906952320,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212654673976,08390228+1919343,J083902.25+191934.3,-9223372036854775808,129.75949880095587,19.32624269453645,12.122607,12.617868,11.498594,5.533040894904067,0.016757747,0.92464536,268920.6427472165,114.0176,339,12.113306,12.586641,11.485772,179.36966,179.90955,180.38957,179.41092,180.00626,180.56284,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.83226,0.01567455,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08390228+1919343,10.73,0.022,10.372,0.021,10.259,0.019,AAA,222,111,000,1,J083902.25+191934.3,10.184,0.023,10.258,0.019,10.072,0.129,8.034,,0000,0,AABU,5744.0,,,,,,,,,,,,,,,,
137,659766114072052608,659766114072052608,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107964715191,08362269+1911293,J083622.66+191129.1,-9223372036854775808,129.0945345733898,19.191483824728778,12.129682,12.618116,11.507107,5.525287739681772,0.018733952,0.9699022,267658.2471132744,112.71401,327,12.118415,12.583787,11.495761,179.74728,180.35117,181.06618,179.65321,180.19707,180.72174,6377776811124722564,19.372,0.0971,0,6377776811124722564,,,0,14.81532,0.01342023,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08362269+1911293,10.763,0.023,10.346,0.025,10.257,0.019,AAA,222,111,000,1,J083622.66+191129.1,10.211,0.023,10.278,0.022,10.079,0.104,8.171,0.482,0000,0,AAAC,5744.0,,,,,,,,,,,,,,,,
138,661453688325924736,661453692623304704,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667108502372424,08421883+2024350,J084218.80+202435.0,132491305782932187,130.57846207240536,20.40974206593357,12.156006,12.651771,11.521012,5.521414243417129,0.030710045,1.6066697,258725.24717185943,108.864914,436,12.15527,12.621334,11.50844,179.4307,180.30673,181.29593,179.32803,180.24373,181.28592,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.84629,0.01798451,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08421883+2024350,10.757,0.023,10.293,0.022,10.194,0.019,AAA,222,111,000,1,J084218.80+202435.0,10.131,0.023,10.155,0.021,10.02,0.081,8.504,,0000,0,AAAU,3333.0,,,,,,,12.748000144958496,0.0010000000474974,12.275699615478516,0.0010000000474974,12.06350040435791,0.049159999936819,12.961799621582031,-999.0,11.747099876403809,0.005634999834001
139,664497209527231872,664497209527231872,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667109038981184,08384610+2034363,J083846.07+203436.2,-9223372036854775808,129.69210806471995,20.576774213309665,12.174534,12.655479,11.558397,5.363167163798387,0.015363152,0.939541,255703.1384451304,124.1196,313,12.168027,12.629104,11.550658,185.37064,185.76752,186.36305,185.34784,185.92726,186.46454,6377776802534785987,19.3755,0.1008,0,6377776802534785987,,,0,14.78387,0.01620548,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08384610+2034363,10.825,0.022,10.399,0.021,10.313,0.02,AAA,222,111,000,1,J083846.07+203436.2,10.268,0.024,10.347,0.021,10.091,0.174,8.227,,0000,0,AABU,5633.0,,,,,,,,,,,,,,,,
140,661239390935360512,661239390935360512,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107428368446,08410725+1926489,J084107.21+192648.8,-9223372036854775808,130.28019634991227,19.44691537092652,12.180412,12.66864,11.556629,5.51018254205024,0.018202841,0.9614813,255137.1407302401,71.88427,382,12.170433,12.638067,11.545835,180.35626,180.91237,181.47028,180.24783,180.77228,181.40128,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.85892,0.01670679,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08410725+1926489,10.841,0.022,10.396,0.021,10.288,0.018,AAA,222,111,000,1,J084107.21+192648.8,10.241,0.023,10.301,0.02,10.218,0.104,8.663,,0000,0,AAAU,5744.0,,,,,,,,,,,,,,,,
141,661315837054947840,661315837054947840,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667142325633160,08392185+1951402,J083921.82+195140.2,-9223372036854775808,129.84105001998086,19.86119717788077,12.283896,12.782706,11.653759,5.364387641278777,0.017470501,0.9870262,231311.1689612943,95.55583,297,12.2768755,12.754824,11.644432,185.20442,185.72182,186.26303,185.28694,185.93365,186.50687,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.04765,0.01896219,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08392185+1951402,10.874,0.02,10.45,0.023,10.369,0.02,AAA,222,111,000,1,J083921.82+195140.2,10.323,0.026,10.394,0.022,10.256,0.115,8.597,0.51,0000,0,AABC,5744.0,,,,,,,,,,,,,,,,
142,610136701814354560,610136701814354560,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237670359792353356,08494837+1607515,J084948.33+160751.3,-9223372036854775808,132.45148699268492,16.130973328681726,12.291937,12.781739,11.666641,5.271211683939451,0.013884217,1.0001433,229504.99660980847,133.4901,388,12.285386,12.756367,11.659037,188.63509,189.06221,189.55664,188.65701,189.1184,189.60089,6377811941809718898,19.459,0.0866,0,6377811941809718898,,,0,14.97723,0.0162321,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08494837+1607515,10.938,0.019,10.493,0.016,10.435,0.02,AAA,222,111,000,1,J084948.33+160751.3,10.359,0.022,10.416,0.019,10.393,0.083,8.613,,0000,0,AAAU,1111.0,,,,,,,,,,,,,,,,
143,661190153430426880,661190153430426880,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255067344993,08400571+1901307,J084005.69+190130.5,-9223372036854775808,130.0238117666348,19.02518510022638,12.30935,12.888833,11.593274,5.362769906739687,0.016276294,0.9605141,225166.09491067365,347.5494,299,12.306109,12.8715,11.587568,185.29375,185.89421,186.3789,185.32935,185.82242,186.3056,6377811898860047225,19.5706,0.1054,0,6377811898860047225,,,0,15.17327,0.01078971,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08400571+1901307,10.658,0.02,10.149,0.018,10.009,0.02,AAA,222,111,000,1,J084005.69+190130.5,9.95,0.023,9.969,0.019,9.786,0.072,8.201,,0000,0,AAAU,5744.0,ASASSN-V J084005.80+190131.5,12.67,0.09,,ROT:    ,0.887,,,,,,,,,,
145,659452272221698432,659452272221698432,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211580670141,08384973+1815571,J083849.70+181556.9,-9223372036854775808,129.7072043510501,18.26586025271017,12.319331,12.824227,11.687408,5.358541989345123,0.015488405,0.9664996,224654.25724500688,72.74209,312,12.30858,12.788989,11.6734915,185.32155,185.97339,186.63179,185.23718,185.91919,186.46611,6377811899933791156,19.7386,0.0527,0,6377811899933791156,,,0,15.07489,0.009363846,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08384973+1815571,10.92,0.02,10.49,0.021,10.396,0.02,AAA,222,111,000,1,J083849.70+181556.9,10.351,0.024,10.402,0.02,10.304,0.137,8.454,,0000,0,AABU,4644.0,,,,,,,,,,,,,,,,
146,662797806930496256,662797806930496256,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667142325305375,08361410+1937174,,-9223372036854775808,129.05873463014393,19.621497243158093,12.32316,12.824671,11.683719,5.27239044686087,0.016473081,1.0442061,223314.3499514299,67.013435,334,12.315075,12.795953,11.673087,188.45912,189.04103,189.48473,188.3849,189.05309,189.67963,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.03223,0.01900348,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08361410+1937174,10.931,0.023,10.467,0.023,10.363,0.019,AAA,222,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
147,664380111539399552,664380111539399552,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667109038719042,08362830+2013429,J083628.28+201342.8,-9223372036854775808,129.11793384913096,20.22859234428852,12.356578,12.864744,11.715506,5.354397634991167,0.0151355015,0.9023219,216934.07773958865,79.90203,287,12.346547,12.83371,11.704664,185.47649,185.96225,186.48318,185.67946,186.15569,186.6636,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.09515,0.02010527,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08362830+2013429,10.982,0.023,10.522,0.023,10.441,0.019,AAA,222,111,000,1,J083628.28+201342.8,10.378,0.023,10.437,0.02,10.387,0.101,8.658,,0000,0,AAAU,5744.0,,,,,,,,,,,,,,,,
148,661265951013145344,661265951013145344,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667141788696707,08393836+1926272,J083938.33+192627.1,-9223372036854775808,129.9098526182116,19.44085404077679,12.36487,12.869843,11.684354,5.398444417755352,0.016780678,0.9601401,215042.95778919235,61.27099,333,12.356053,12.842239,11.676241,184.00989,184.6185,185.18661,184.04419,184.55109,185.11653,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.21759,0.02436195,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08393836+1926272,10.839,0.022,10.386,0.022,10.286,0.02,AAA,222,111,000,1,J083938.33+192627.1,10.228,0.023,10.283,0.021,10.045,0.13,8.439,,0000,0,AABU,5744.0,,,,,,,,,,,,,,,,
149,662633228081183872,662633228081183872,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212653953114,08324972+1842062,J083249.69+184206.1,-9223372036854775808,128.20716614459442,18.7017532407128,12.388916,13.038714,11.635103,5.363839977932667,0.017094404,1.0235454,210906.14318399684,56.535267,290,12.377144,13.008809,11.621056,185.35481,185.94028,186.53117,185.19673,185.81195,186.34586,6377776804682269033,21.0194,0.2676,0,6377776804682269033,,,0,15.87255,0.0125954,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08324972+1842062,10.705,0.022,10.122,0.021,10.062,0.018,AAA,222,111,000,1,J083249.69+184206.1,9.968,0.022,10.037,0.02,10.008,0.073,8.422,,0000,0,AAAU,5633.0,,,,,,,,,,,,,,,,
150,660962863759344768,660962863759344768,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211581325333,08435467+1853369,J084354.64+185336.8,-9223372036854775808,130.97780222088284,18.8935843024236,12.399532,12.920285,11.747338,5.420221498858722,0.0150456205,1.0998619,208226.55860267853,70.6145,580,12.3910265,12.892677,11.737743,183.3624,183.8348,184.3489,183.24394,183.7399,184.27379,6377811907449982119,20.0426,0.1392,0,6377811907449982119,,,0,15.25408,0.01657938,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08435467+1853369,10.961,0.023,10.524,0.022,10.412,0.018,AAA,222,111,000,1,J084354.64+185336.8,10.351,0.023,10.441,0.021,10.328,0.119,8.228,,0000,0,AABU,1122.0,,,,,,,,,,,,,,,,
151,659716601689157760,659716601689157760,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255067017283,08365411+1845247,J083654.08+184524.5,-9223372036854775808,129.225445831492,18.756859182054622,12.425856,12.9478445,11.776359,5.497162839559035,0.018968597,1.0270327,203841.3832198209,77.89487,318,12.414136,12.913647,11.762989,180.95435,181.43958,181.9081,180.6974,181.30074,181.99265,6377776811124720781,20.5719,0.1966,17,6377776811124720781,,,0,15.25516,0.0141258,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08365411+1845247,11.003,0.023,10.542,0.027,10.469,0.019,AAA,222,111,000,1,J083654.08+184524.5,10.4,0.023,10.441,0.024,10.573,0.281,7.274,,0000,0,AABU,5633.0,,,,,,,,,,,,,,,,
152,666002578385539840,666002578385539840,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237664835390275739,08370037+2232470,J083700.34+223246.8,-9223372036854775808,129.2515690756533,22.546396044960375,12.448767,12.975495,11.790716,5.413083623336783,0.016926263,0.9519966,199342.80688774947,48.972458,406,12.438365,12.9458,11.780321,183.3646,184.03537,184.58153,183.52548,184.15541,184.80963,6377776791797368560,20.2949,0.1605,0,6377776791797368560,,,0,15.36408,0.01745157,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08370037+2232470,10.983,0.023,10.574,0.027,10.448,0.022,AAA,222,111,000,1,J083700.34+223246.8,10.396,0.024,10.469,0.021,10.46,0.098,8.148,,0000,0,AAAU,3322.0,,,,,,,,,,,,,,,,
154,664641348629985280,664641348629985280,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237674369681981454,08331542+2042089,J083315.39+204208.8,-9223372036854775808,128.31425173761332,20.70249809568377,12.459369,12.986339,11.800583,5.508565533678367,0.01693296,0.9843695,197699.76951567223,59.59724,496,12.447351,12.954729,11.788123,180.4218,181.00194,181.57878,180.21881,180.798,181.31177,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.33694,0.01264561,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08331542+2042089,11.015,0.022,10.545,0.025,10.436,0.019,AAA,222,111,000,1,J083315.39+204208.8,10.394,0.023,10.466,0.02,10.32,0.075,8.258,,0000,0,AAAU,1111.0,,,,,,,,,,,,,,,,
155,659661213791017600,659661213791017600,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667212117409998,08364711+1834468,J083647.08+183446.7,-9223372036854775808,129.19628491891064,18.579693987599903,12.50592,13.010677,11.868098,5.021755206574767,0.018195214,1.0056514,189012.80849338876,51.942757,331,12.496139,12.979455,11.858408,197.54475,198.23973,198.90628,197.29437,198.22926,199.01244,6377776811124720150,19.7641,0.1232,0,6377776811124720150,,,0,15.24966,0.01461494,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08364711+1834468,11.114,0.023,10.675,0.023,10.586,0.019,AAA,222,111,000,1,J083647.08+183446.7,10.519,0.023,10.585,0.022,10.612,0.291,8.151,,0000,0,AABU,5633.0,,,,,,,,,,,,,,,,
156,664594585026149504,664594585026149504,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237673807047426152,08340436+2034303,J083404.33+203430.2,-9223372036854775808,128.51818057995024,20.575114892822807,12.512375,13.065755,11.833349,5.616094424777042,0.01567934,1.0039033,188309.00739093285,94.87924,480,12.500189,13.034167,11.82039,177.08954,177.60374,178.03859,177.04405,177.51576,177.98097,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.51054,0.01138702,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08340436+2034303,11.038,0.022,10.568,0.021,10.442,0.025,AAA,222,111,000,1,J083404.33+203430.2,10.363,0.024,10.439,0.021,10.402,0.079,8.852,0.442,0000,0,AAAC,5633.0,,,,,,,,,,,,,,,,
157,663755485855805568,663755485855805568,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667143935197230,08280099+1954172,J082800.96+195417.1,-9223372036854775808,127.00412406974628,19.90479644513228,12.513612,13.040969,11.856841,5.226275720043277,0.016451368,1.0420277,187819.84153000417,46.205208,387,12.503014,13.008695,11.846029,189.90485,190.5465,191.1546,189.91039,190.47612,191.0673,6377776784281174413,20.204,0.1723,0,6377776784281174413,,,0,15.46756,0.0112087,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08280099+1954172,11.07,0.022,10.6,0.022,10.49,0.017,AAA,222,111,000,1,J082800.96+195417.1,10.45,0.023,10.527,0.021,10.569,0.097,8.189,,0000,0,AAAU,1100.0,,,,,,,,,,,,,,,,
158,660995230632845184,660995230632845184,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667106891431973,08413070+1852188,J084130.66+185218.5,-9223372036854775808,130.37794386641193,18.871866613825112,12.5283375,13.072952,11.822207,5.467865900571965,0.02182577,1.106098,185632.4301967143,377.7093,451,12.515732,13.044775,11.809652,181.32329,181.99031,182.56297,181.4333,182.11055,182.90866,6377811898860046597,19.378,0.1031,0,6377811898860046597,,,0,15.21662,0.01371903,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08413070+1852188,10.769,0.026,10.306,0.026,10.154,0.021,AAA,222,111,000,1,J084130.66+185218.5,10.077,0.023,10.064,0.021,9.971,0.072,8.737,,0000,0,AAAU,4644.0,ASASSN-V J084130.71+185218.7,12.84,0.13,2.41921,ROT     ,0.989,,,,,,,,,,
