,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
54,3311514210073309056,3311514210073309056,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,1237673326005518562,04142562+1437300,J041425.72+143729.9,-9223372036854775808,63.60687579019937,14.625032119131612,8.289951,8.662458,7.7902493,20.37607494359422,0.02300196,0.9563937,8982091.8568473,5901.0693,273,8.303924,8.64711,7.783644,48.941387,49.00241,49.063885,48.95852,49.004745,49.065483,-9223372036854775808,,,-32768,6376967551241422288,20.2167,0.1172,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04142562+1437300,7.216,0.029,6.916,0.024,6.825,0.017,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
55,3406786445943961088,3406786445943961088,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04473755+1815315,J044737.62+181531.1,-9223372036854775808,71.90656820937,18.25874532069821,8.3399315,8.723396,7.828895,21.089758083460115,0.043262184,1.5270628,8595107.76176918,2714.5078,357,8.351739,8.707622,7.8224864,47.25551,47.33435,47.4322,47.257965,47.347023,47.43786,6376826806236873870,14.5152,0.0156,0,6376826806236873870,20.1019,0.3532,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04473755+1815315,7.217,0.019,6.901,0.024,6.837,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
60,3407121831350730112,3407121831350730112,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,05061798+1748591,J050618.03+174858.7,-9223372036854775808,76.57495501731283,17.81641636538376,8.620001,9.005711,8.111428,18.664251332579383,0.01968776,1.0933884,6651469.918671866,2719.543,254,8.630073,8.989019,8.103597,53.422604,53.47792,53.55285,53.410778,53.478275,53.53529,6376826801941906694,14.779,0.0079,0,6376826801941906694,20.3895,0.22,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,05061798+1748591,7.514,0.018,7.216,0.045,7.128,0.017,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
61,68001499939741440,68001499939741440,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,03325006+2341318,J033250.19+234131.5,-9223372036854775808,53.20866189702708,23.692186889357828,8.634549,9.0861,8.066338,23.825022114319605,0.02383677,1.0779055,6584706.262233457,3033.9358,244,8.641026,9.063806,8.054681,41.867184,41.906673,41.947594,41.864635,41.905415,41.9482,6376932321772175971,15.5691,0.0157,0,6376932321772175971,20.7896,0.301,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03325006+2341318,7.374,0.021,7.018,0.017,6.907,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J033250.16+234131.2,9.05,0.31,,YSO     ,0.327,,,,,,,,,,
65,43538293935879680,43538293935879680,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,1237664088065704018,03550647+1659545,J035506.59+165954.3,-9223372036854775808,58.77708909392857,16.99847796435663,8.734807,9.211968,8.142562,24.548558117114855,0.018311711,1.0472568,5982642.057587271,3136.9128,369,8.745134,9.194528,8.134413,40.646564,40.67334,40.69998,40.64853,40.678883,40.71854,6376967495404750792,15.8635,0.0261,0,6376967495404750792,,,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03550647+1659545,7.413,0.02,7.038,0.027,6.91,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
66,3406823245223942528,3406823245223942528,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04490351+1838285,J044903.58+183828.0,-9223372036854775808,72.2646734227601,18.64124716333428,8.747406,9.189218,8.18523,21.919610281288232,0.018607637,0.934118,5917593.081876039,2747.1616,361,8.757004,9.171652,8.174176,45.505096,45.547054,45.583298,45.5152,45.555626,45.59036,6376826797646938191,15.5453,0.0111,1,6376826797646938191,21.4365,0.389,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04490351+1838285,7.486,0.024,7.141,0.024,7.059,0.026,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
67,3391712038447198080,3391712038447198080,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,1237673473106313316,05030765+1343505,J050307.70+134350.2,124470757821717195,75.7819071326609,13.73067016443732,8.785987,9.187145,8.260433,18.562013026555217,0.020328179,1.1090275,5731128.934449947,2498.7,251,8.791766,9.165581,8.249125,53.719616,53.771107,53.824783,53.71297,53.772423,53.829357,6381822937681366400,15.1205,0.0094,17,6381822937681366400,21.0206,0.3117,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,05030765+1343505,7.629,0.032,7.303,0.018,7.226,0.027,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
70,3312951748510907648,3312951748510907648,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04295771+1640222,J042957.80+164021.9,-9223372036854775808,67.49053323025612,16.67284058800049,8.853477,9.308189,8.278901,21.918833298371936,0.016625928,0.96152544,5386058.375487586,2607.5276,386,8.859189,9.285927,8.266227,45.5051,45.544907,45.577564,45.522858,45.558136,45.59294,6376897106261573917,15.7146,0.0094,17,6376897106261573917,21.5813,0.2737,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04295771+1640222,7.619,0.024,7.211,0.027,7.139,0.024,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
74,47019347749289216,47019347749289216,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,1237664087530012726,04053965+1756156,J040539.76+175615.5,-9223372036854775808,61.41531226969904,17.937711507830198,9.030198,9.498501,8.443756,21.953883088547247,0.018208072,1.0556073,4563675.15765962,1236.3267,386,9.03908,9.480922,8.4315405,45.448982,45.48702,45.531628,45.4519,45.483585,45.510437,6376967503996781534,16.0821,0.0134,0,6376967503996781534,21.2009,0.4737,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04053965+1756156,7.748,0.03,7.365,0.038,7.254,0.023,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
76,3283285795218796800,3283285795218796800,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04210411+0316074,J042104.20+031607.7,-9223372036854775808,65.26713597236046,3.2687726178231387,9.147926,9.71354,8.470903,26.97422610752804,0.022428213,1.1599364,4106032.986463562,1397.6501,226,9.1538105,9.695439,8.462815,36.995968,37.029335,37.056442,36.99337,37.027096,37.05439,6377002718433640801,17.1126,0.0258,0,6377002718433640801,21.0737,0.3799,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04210411+0316074,7.655,0.021,7.169,0.045,7.068,0.027,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
