,dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,feh,feh_err,logg,logg_err,teff,teff_err,rv,rv_err,alpha_m,alpha_m_err,snrg,nobs,rv_discrepancy_sig,rv_discrepancy,imputed_uncertainties_flag
653,4477256668798782080,4477256668798782080,NGC6633 ,2.5232,0.0023,NGC6633      ,-9223372036854775808,-9223372036854775808,18284300+0648476 ,J182843.00+064847.5,277.17920949788197,6.813206716698464,11.357851,11.709276,579.667,10.8561535,843.80756,2.508320864017304,0.030485652,1.6674933,540229.8683547506,205.32523,350,11.355921,11.691186,10.8457575,388.0676,392.55472,396.28046,387.56647,392.45758,397.8125,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.249,0.022,10.027,0.021,9.969,0.021,AAA,222,111,000,1,9.886,0.022,9.912,0.021,9.885,0.052,9.087,,0000,0,AAAU,0000,                            ,,,,        ,,-0.077,0.019,4.211,0.033,6519.54,23.9,-33.51,3.64,,,119.63,1,0.0,0.0,False
654,4477265778445672832,4477265778445672832,NGC6633 ,2.5232,0.0023,NGC6633      ,-9223372036854775808,-9223372036854775808,18272478+0648450 ,J182724.79+064845.1,276.85329424300494,6.812534856029003,13.780623,14.300992,188.83083,13.1126375,413.17963,2.5785476453316956,0.01953936,1.0191861,58335.03933893355,13.713037,384,13.772543,14.282409,13.104712,379.40082,382.28857,385.62274,378.43027,382.13132,384.8301,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.291,0.023,11.848,0.022,11.795,0.021,AAA,222,111,000,1,11.716,0.024,11.757,0.022,12.258,0.486,8.771,,00P0,0,AACU,0000,                            ,,,,        ,,0.055,0.035,4.492,0.048,5396.86,36.41,-32.63,4.64,0.03756,0.046373000000000004,36.13,1,0.0,0.0,False
655,4477374595739233792,4477374595739233792,NGC6633 ,2.5232,0.0023,NGC6633      ,-9223372036854775808,-9223372036854775808,18282954+0710234 ,J182829.53+071023.4,277.1230844714005,7.173183029623977,10.529535,10.745543,512.079,10.200997,745.9487,2.5462739475422573,0.017480277,1.0457935,1155216.0729285064,322.57022,449,10.530709,10.729115,10.188758,386.737,389.28815,391.87155,386.07922,388.3003,390.7196,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.805,0.024,9.695,0.024,9.627,0.023,AAA,222,111,000,1,9.573,0.023,9.588,0.021,9.575,0.042,8.419,,0000,0,AAAU,0011,                            ,,,,        ,,-0.166,0.027000000000000003,3.9299999999999997,0.047,7569.09,35.12,-27.02,5.54,,,131.21,1,0.0,0.0,False
656,4477412013495162496,4477412013495162496,NGC6633 ,2.5232,0.0023,NGC6633      ,-9223372036854775808,-9223372036854775808,18302509+0731589 ,J183025.09+073158.8,277.6045725387254,7.533007009534991,9.353038,9.470423,604.1042,9.177674,382.72372,2.5835326070201803,0.018368717,0.8810358,3393193.0978267714,698.4332,368,9.360846,9.455491,9.167715,380.2797,383.73364,387.04495,380.45258,383.2088,385.75616,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,8.915,0.021,8.899,0.022,8.865,0.023,AAA,122,111,000,1,8.812,0.023,8.834,0.021,8.818,0.03,8.85,0.426,0000,0,AAAC,0011,                            ,,,,        ,,-0.308,0.09,4.032,0.138,8694.15,84.78,-38.37,7.01,,,128.0,1,0.0,0.0,True
657,4477470837359124096,4477470837359124096,NGC6633 ,2.5232,0.0023,NGC6633      ,-9223372036854775808,-9223372036854775808,18270316+0707126 ,J182703.16+070712.6,276.763194498703,7.120172769620009,11.908672,12.243626,578.4324,11.41742,1021.77374,2.620292530367128,0.018813318,1.1390462,326505.52628093766,83.3856,385,11.90264,12.225773,11.405926,373.43494,375.8966,378.23596,372.7667,375.5344,378.65506,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.828,0.024,10.625,0.032,10.518,0.022,AAA,222,111,000,1,10.466,0.023,10.495,0.021,10.424,0.075,8.626,,0000,0,AAAU,0011,                            ,,,,        ,,-0.07,0.017,4.175,0.027999999999999997,6533.61,19.860000000000003,-38.33,2.67,,,55.56,1,0.0,0.0,False
658,4477504643034442752,4477504643034442752,NGC6633 ,2.5232,0.0023,NGC6633      ,-9223372036854775808,-9223372036854775808,18250410+0710317 ,J182504.11+071031.5,276.2671218853583,7.175437256480907,11.921912,12.254948,375.5127,11.43229,1163.0619,2.529603925340639,0.019083766,1.2110513,322414.16769181355,82.391594,299,11.916331,12.238177,11.421595,386.68408,389.16602,392.2229,386.7472,389.53366,392.7032,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.777,0.045,10.615,0.036,10.553,0.021,EAA,222,111,000,1,10.426,0.038,10.462,0.038,10.465,0.118,8.075,,dd00,0,AABU,0011,                            ,,,,        ,,-0.057999999999999996,0.02,4.157,0.032,6670.55,22.63,-36.08,3.08,,,48.04,1,0.0,0.0,False
659,1978865813254230656,1978865813254230656,NGC7092 ,3.3373,0.0024,NGC7092      ,-9223372036854775808,1237671939284011024,21365970+4906538 ,J213659.70+490653.6,324.24878593808023,49.114978183059954,14.686464,15.408603,191.09184,13.869659,240.9353,3.3555832652139834,0.016882908,0.96241236,25790.105175216024,35.22796,519,14.658734,15.369686,13.841816,294.13522,295.395,296.60492,293.7191,295.66327,297.15314,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,15.7803,0.01164922,14.62255,0.03700378,14.1821,0.01792385,13.90334,0.02864859,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.75,0.024,12.127,0.026,12.043,0.022,AAA,222,111,000,1,12.016,0.024,12.067,0.023,11.131,0.098,8.975,0.404,dd00,0,AAAC,0000,                            ,,,,        ,,-0.29100000000000004,0.040999999999999995,4.579,0.068,4252.49,47.400000000000006,-12.22,6.42,,,49.69,1,0.0,0.0,False
660,458803907106435456,458803907106435456,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02171601+5853091 ,J021716.03+585308.9,34.31673637381021,58.885859187139985,13.570547,14.092754,722.0754,12.903538,1263.6278,2.6778362608858335,0.014548067,0.9095621,71334.66557229507,27.441257,391,13.554115,14.06186,12.8879385,366.4496,368.82172,370.78464,366.91306,368.76303,370.51968,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.078,0.024,11.703,0.027,11.578,0.022,AAA,222,111,000,1,11.508,0.024,11.561,0.024,11.478,0.195,8.977,,0000,0,AABU,0000,                            ,,,,        ,,-0.009000000000000001,0.08199999999999999,4.489,0.125,5501.36,75.9,3.78,5.64,,,15.67,1,0.0,0.0,False
661,459182070386642816,459182070386642816,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02181458+5904008 ,J021814.61+590400.6,34.56081724426678,59.066888691918244,11.835548,12.210703,914.0494,11.299713,1325.6606,2.6305769520809843,0.013448042,0.88219434,349876.0271516166,53.9637,408,11.827581,12.193105,11.289283,371.40698,373.64856,375.58078,372.0661,374.00436,375.77054,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.658,0.027,10.407,0.03,10.339,0.018,AAA,222,111,000,1,10.304,0.024,10.311,0.02,10.188,0.066,9.021,,HHhH,0,AAAU,0000,                            ,,,,        ,,-0.13405637254901961,0.012820590247029634,4.172461367880485,0.021505179935968875,6677.593670634919,15.202166750764118,-2.785510037348273,2.1023299024047626,-0.022071999999999998,0.011774753207303378,122.49369289885908,2,1.3870823240703585,5.930000000000001,False
662,507116035712601856,507116035712601856,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02095939+5930029 ,J020959.39+593002.7,32.49745378129539,59.50081536145513,13.531956,14.068303,865.2375,12.85066,954.74054,2.697140653607361,0.013741153,0.9639664,73629.83736504786,15.820011,528,13.519732,14.041554,12.836944,364.24496,365.9455,367.80243,364.52176,365.846,367.1283,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.003,0.025,11.604,0.031,11.504,0.028,AAA,222,111,000,1,11.402,0.023,11.46,0.022,11.148,0.16,8.763,,0000,0,AABU,0000,                            ,,,,        ,,-0.087,0.05799999999999999,4.369,0.08900000000000001,5526.9,53.080000000000005,-7.6499999999999995,3.4599999999999995,,,10.86,1,0.0,0.0,False
