dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
598689411379091328,598689411379091328,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354571,08513890+1111389 ,J085138.90+111138.9,132.91211336290218,11.194159715952832,13.492874,13.790847,1105.3058,13.039155,1890.5184,1.163367787440378,0.016306639,0.9410938,76312.87483424913,12.937869,414,13.480872,13.772065,13.028606,817.50024,828.88666,839.95575,818.50134,830.5839,842.2545,6377811981538168547,,,0,-9223372036854775808,,,-32768,15.01074,0.01889681,,,,,,,13.34679,0.01492459,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.526,0.022,12.275,0.02,12.184,0.02,AAA,222,111,000,1,12.206,0.023,12.208,0.023,11.807,0.276,8.442,,0000,0,AABU,0000,                            ,,,,        ,
598689480098560128,598689480098560128,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354788,08514593+1112025 ,J085145.92+111202.4,132.94138927635598,11.200702245538668,16.175806,16.75636,216.28508,15.459489,589.0889,1.2286231177333926,0.05124651,0.99919,6471.346750146893,2.5977008,432,16.15988,16.72882,15.447182,764.1267,791.3792,824.0601,761.29877,792.28784,816.3457,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,19.33298,0.02981577,,,16.09497,0.01713154,15.80861,0.02328292,15.62747,0.0155122,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.603,0.032,14.069,0.038,14.024,0.047,AAA,222,111,000,1,13.908,0.027,13.972,0.04,12.165,,8.842,,0000,0,AAUU,0000,                            ,,,,        ,
598689754976482944,598689754976482944,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354471,08513058+1111006 ,J085130.58+111100.5,132.87744462053485,11.183516804385228,12.755581,13.043635,862.202,12.312858,1940.227,1.1746542811893945,0.01599062,0.9728026,150730.4143676925,31.215485,410,12.741864,13.025335,12.302259,818.7923,829.022,840.0275,815.9845,826.30005,836.65265,6377811981538168471,,,0,6377811981538168471,17.5345,0.0279,0,14.26303,0.01878389,,,,,,,12.61887,0.01488839,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.829,0.023,11.564,0.022,11.509,0.018,AAA,222,111,000,1,11.471,0.023,11.495,0.022,11.807,0.245,8.977,,0000,0,AABU,0000,                            ,,,,        ,
598689926775182208,598689926775182208,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354395,08511679+1111239 ,J085116.78+111123.9,132.8199758637795,11.189995398190337,15.439061,15.905857,433.8704,14.820631,728.2701,1.1694703545022742,0.035329606,1.0681465,12723.79430641128,3.3682256,403,15.425825,15.8759775,14.810205,800.89386,821.1379,842.50653,801.9171,824.012,845.80133,6377811981538168559,,,0,6377811981538168559,22.2847,0.3627,0,17.88196,0.02182219,16.04985,0.009338456,15.36257,0.01708995,15.14382,0.02325066,15.03465,0.01520198,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.063,0.025,13.627,0.033,13.537,0.035,AAA,222,111,000,1,13.556,0.026,13.606,0.035,12.473,,8.711,,0000,0,AAUU,0000,                            ,,,,        ,
598690025559424640,598690025559424640,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354716,08512532+1112422 ,J085125.30+111242.2,132.85549046943106,11.211740338505834,16.606314,17.299643,161.77449,15.802055,326.82947,0.9355622502989117,0.07070925,1.1363143,4362.4382253144995,2.287502,397,16.588043,17.273571,15.790395,965.85913,1027.8917,1092.1624,900.27814,949.0098,996.56335,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,20.15902,0.04126666,17.6694,0.009906571,16.56634,0.01721002,16.15845,0.02331385,15.93335,0.0157013,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.787,0.033,14.23,0.041,14.011,0.048,AAA,222,111,000,1,14.01,0.027,14.08,0.045,12.042,,8.714,,0000,0,AAUU,0000,                            ,,,,        ,
598691885280238464,598691885280238464,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354652,08514578+1115215 ,J085145.77+111521.5,132.9407428278165,11.255992661945466,15.112228,15.531276,390.17468,14.540344,790.4339,1.1253907396186151,0.030795395,0.92893887,17161.988700551574,4.043635,376,15.100947,15.507179,14.533425,840.619,860.3851,883.4892,835.1865,863.29016,884.1073,6377811981538169025,,,0,6377811981538169025,21.7877,0.2902,1,17.32375,0.02049646,15.66727,0.009299504,15.03667,0.01707177,,,14.79345,0.0151373,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.909,0.026,13.541,0.028,13.511,0.037,AAA,222,111,000,1,13.42,0.025,13.412,0.031,12.493,0.521,8.956,,0000,0,AACU,0000,                            ,,,,        ,
598692675554477056,598692675554477056,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735419924,08514837+1118077 ,J085148.35+111807.7,132.9515261593815,11.302170749210847,14.430771,14.783209,628.38837,13.921687,866.6797,1.1387296464071455,0.023723211,1.0214407,32177.43062363166,6.0323806,399,14.4184885,14.759158,13.910968,829.5186,844.59766,861.0468,830.437,848.4615,863.06274,6377811981538168916,,,256,6377811981538168916,20.2612,0.1127,1,16.2619,0.0169221,14.86563,0.01338333,14.39964,0.01969561,,,14.20858,0.01357433,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.36,0.024,13.039,0.024,13.005,0.023,AAA,222,111,000,1,12.955,0.024,12.999,0.03,11.992,,8.503,,0000,0,AAUU,0000,                            ,,,,        ,
598694939001774976,598694939001774976,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354405,08511232+1118387 ,                   ,132.801347154144,11.310766639200299,13.923045,14.236671,786.2859,13.453791,1112.2035,1.1511070382346564,0.018601233,0.98203576,51412.84620324023,9.3261,402,13.909688,14.217859,13.443076,828.47644,839.1702,850.1378,825.1846,838.78796,849.97375,6377811981538168917,,,0,6377811981538168917,19.0723,0.0601,17,15.55159,0.01904036,,,13.90462,0.01704909,,,13.75727,0.01495428,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.965,0.025,12.657,0.027,12.568,0.026,AAA,222,222,ccc,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
598695007721506432,598695007721506432,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735354693,08511071+1119017 ,J085110.69+111901.6,132.79460676643495,11.317123824909217,17.276985,18.093773,76.84831,16.355875,150.6781,1.1369567096257727,0.09508543,0.9332137,2358.912184970025,1.8284199,372,17.255587,18.084774,16.354883,795.1988,852.38,926.6429,792.74854,846.6089,907.93005,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,21.14277,0.07321249,18.62654,0.01100924,17.29321,0.01739949,16.70491,0.02339286,16.42513,0.01620086,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,15.202,0.043,14.519,0.045,14.414,0.066,AAA,222,111,000,1,14.35,0.029,14.416,0.053,12.521,,9.034,,0000,0,AAUU,0000,                            ,,,,        ,
598695763635752448,598695763635752448,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735419933,08514823+1119578 ,J085148.22+111957.9,132.95094706587395,11.33276056171512,15.423194,15.883904,408.4665,14.809306,537.3354,1.2209808887849238,0.034870185,0.93287724,12882.131303432565,5.5465474,415,15.412397,15.856246,14.80228,773.55273,789.6463,808.9953,768.89825,795.73535,818.9772,6377811981538169034,,,256,6377811981538169034,22.7649,0.4712,257,17.82891,0.01919402,16.01741,0.01345379,15.36472,0.01972516,15.12347,0.02050041,15.03435,0.01378556,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.101,0.025,13.618,0.029,13.543,0.037,AAA,222,111,000,1,13.499,0.025,13.525,0.033,12.067,0.375,8.71,,0000,0,AACU,0000,                            ,,,,        ,
