,dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,feh,feh_err,logg,logg_err,teff,teff_err,rv,rv_err,alpha_m,alpha_m_err,nobs,rv_discrepancy_sig,rv_discrepancy,imputed_uncertainties_flag
492,507287250288726400,507287250288726400,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02173785+5955546 ,J021737.88+595554.4,34.40776361392601,59.931841961438785,11.408791,11.818983,710.6394,10.849032,1244.0864,2.673819950176811,0.01698198,0.9789853,516010.8813997677,134.21812,399,11.40572,11.79835,10.838401,366.52267,368.53693,371.00177,366.6315,368.8924,371.10672,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.174,0.023,9.933,0.028,9.857,0.02,AAA,222,111,0c0,1,9.797,0.023,9.799,0.021,9.79,0.048,8.719,,0000,0,AAAU,0000,                            ,,,,        ,,0.1119002473206925,0.034110339362760735,3.965216068866571,0.05766179532311861,7246.219253419194,46.03514812570928,2.166087932647334,1.0800236979002786,-0.21200000000000002,0.093551,2,0.41490272082457524,0.9100000000000001,False
493,507288349801436800,507288349801436800,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02141954+5919403 ,J021419.56+591940.1,33.58146194603975,59.32784807678254,13.3791275,13.948183,920.9699,12.66864,1097.3635,2.6595121823731693,0.012684838,0.9678531,84704.96542290463,14.044359,438,13.367595,13.925063,12.655924,369.616,371.33365,372.75052,368.9024,370.846,372.81653,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.75,0.025,11.376,0.032,11.292,0.018,AAA,222,111,000,1,11.211,0.023,11.236,0.021,11.139,0.155,8.665,,h000,0,AABU,0000,                            ,,,,        ,,-0.01607667731629393,0.01763528267105971,4.465589991705833,0.029995926366130857,5923.6957124842365,24.50187354495804,8.437287483981205,1.0818040527486286,,,2,0.16175299831767756,0.34999999999999964,False
494,507292954006148352,507292954006148352,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02133339+5925406 ,                   ,33.3891427761069,59.42796462914538,11.0852165,11.430371,999.7536,10.604308,1559.115,2.6764963450297476,0.01631228,1.0396793,693294.6308153095,143.69359,429,11.0850725,11.408123,10.595204,366.61215,368.8,371.18744,365.80722,368.15076,370.39417,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.05,0.027,9.898,0.031,9.82,0.021,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,,0.625,0.023,3.8720000000000003,0.035,7414.85,36.28000000000001,8.71,1.57,,,1,0.0,0.0,False
495,507295049950346240,507295049950346240,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02141888+5932381 ,J021418.91+593237.9,33.57871210917324,59.54393162784757,13.591335,14.203744,451.21008,12.8467245,917.23663,2.698265838465016,0.014745254,0.9936906,69713.91385962683,19.082256,378,13.579068,14.179532,12.832836,363.8015,365.64392,367.3307,365.05878,366.4757,368.3631,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.905,0.026,11.491,0.031,11.379,0.019,AAA,222,111,000,1,11.29,0.023,11.311,0.021,11.644,0.208,9.162,,0000,0,AABU,0000,                            ,,,,        ,,0.002,0.036000000000000004,4.559,0.061000000000000006,5880.03,47.92000000000001,9.65,1.63,,,1,0.0,0.0,False
496,507296046382572544,507296046382572544,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02134467+5933039 ,J021344.69+593303.8,33.436144547371086,59.55110040542385,11.792119,12.324359,569.0006,11.115923,961.27454,2.6846942556568543,0.012827041,0.9217396,364097.4947404676,60.36575,427,11.784323,12.301033,11.10282,365.27673,367.33093,368.9001,366.18738,367.61368,369.20572,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.277,0.026,10.0,0.032,9.855,0.018,AAA,222,111,000,1,9.758,0.15,9.801,0.021,9.734,0.04,8.655,,0000,0,BAAU,0000,                            ,,,,        ,,-0.096,0.017,4.22,0.027000000000000003,6415.18,25.69,10.46,0.85,0.014,0.013519,1,0.0,0.0,False
497,507297210310728832,507297210310728832,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02152198+5931184 ,J021522.00+593118.2,33.84161225193681,59.52177631665052,12.272608,12.763261,735.1584,11.627771,2076.1228,2.7036536021698576,0.01648782,1.2627413,234226.72919159415,34.010723,398,12.263276,12.742236,11.61476,366.7459,368.45367,370.36646,366.17087,368.38376,371.37442,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.796,0.021,10.581,0.032,10.46,0.022,AAA,222,111,000,1,10.373,0.022,10.382,0.021,10.279,0.065,8.502,,0000,0,AAAU,0000,                            ,,,,        ,,-0.09,0.011000000000000001,4.154,0.017,6533.41,19.279999999999998,11.84,1.42,-0.029000000000000005,0.05033500000000001,1,0.0,0.0,False
498,507302196775856000,507302196775856000,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02145792+5940285 ,J021457.97+594028.3,33.74137885295197,59.674605821248704,14.10487,14.79026,300.87744,13.304739,557.8254,2.6917772254714136,0.017460063,1.0229762,43297.007488943455,19.675167,444,14.096222,14.7747135,13.296443,363.8486,366.48712,368.73206,364.72794,367.39648,370.3711,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.276,0.027,11.857,0.034,11.689,0.025,AAA,222,111,000,1,11.522,0.024,11.576,0.023,12.154,0.338,8.459,,d000,0,AABU,0000,                            ,,,,        ,,0.06645454545454545,0.020377371041288023,4.628183635804368,0.03345576204399516,5615.633458461911,26.263531455657922,8.244993914649328,0.9216804074184327,,,3,0.325669010665601,0.7300000000000004,False
499,507303880403001344,507303880403001344,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02150069+5943530 ,J021500.71+594353.0,33.752918879694256,59.731429203178386,13.943029,14.594152,472.1418,13.1691885,789.01215,2.6833371343942853,0.016716504,1.0756339,50169.998965529354,21.633501,454,13.936256,14.576542,13.160352,365.7267,368.04047,370.49896,365.74506,367.8991,370.14944,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.175,0.029,11.741,0.033,11.607,0.02,AAA,222,111,000,1,11.479,0.023,11.515,0.021,11.787,0.23,8.787,,0000,0,AABU,0000,                            ,,,,        ,,0.13350926445816957,0.020141275316235614,4.6493159784560145,0.033812345168841455,5627.263610944586,26.915231851543385,8.118595983280661,1.1045734303540635,,,2,0.018061866247307483,0.040000000000000924,False
500,507304494581593216,507304494581593216,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02150082+5945599 ,                   ,33.75330154069168,59.76663326313663,14.22356,14.826946,109.288795,13.391105,113.53555,2.675723983631813,0.019758176,1.01528,38961.6129725539,11.209425,430,14.210774,14.835983,13.384248,367.30847,370.0749,372.91562,365.9425,369.07272,371.17947,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.25,0.035,11.814,0.047,11.612,0.033,AEA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,,0.115,0.044000000000000004,4.743,0.07200000000000001,5243.23,55.00999999999999,8.69,1.6799999999999997,,,1,0.0,0.0,False
501,507308514664642688,507308514664642688,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02132754+5939285 ,J021327.57+593928.3,33.36477355696225,59.65792324143058,11.9903,12.433699,1025.0961,11.389395,1653.7283,2.686907446351599,0.012911933,0.9468561,303447.32740304095,37.40365,482,11.982159,12.4129715,11.377295,366.12497,368.12473,369.89877,366.61133,368.06778,369.4999,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.633,0.026,10.407,0.032,10.293,0.019,AAA,222,111,000,1,10.235,0.022,10.247,0.02,10.308,0.063,8.986,,0000,0,AAAU,0000,                            ,,,,        ,,-0.0877450093358229,0.007146239826998345,4.099289258315876,0.011103217373479801,6686.944185802801,11.213180412976003,13.663954895200408,0.7198958224491896,-0.07066541772599386,0.005771755791598684,4,11.283157501406375,22.98,False
502,507310202594666368,507310202594666368,Stock2  ,2.6367,0.0009,Stock2       ,-9223372036854775808,-9223372036854775808,02131100+5945191 ,J021311.01+594519.0,33.295820161883064,59.755335535784475,12.8628025,13.351562,729.66345,12.21954,1370.6685,2.66036775608516,0.0150161255,1.0400915,135942.62673843966,40.492233,487,12.853978,13.331175,12.20924,371.59082,373.9756,375.94983,371.8758,374.02078,375.91202,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.481,0.029,11.079,0.029,11.035,0.02,AAA,222,111,000,1,10.952,0.023,10.982,0.022,11.237,0.152,9.1,,0000,0,AABU,0000,                            ,,,,        ,,-0.036000000000000004,0.017,4.379,0.027000000000000003,6090.73,24.02,8.29,1.4500000000000002,-0.008,0.029231999999999998,1,0.0,0.0,False
