dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
3426177291284414592,3426177291284414592,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06072149+2404559 ,J060721.49+240456.1,91.83955196521649,24.08220315866396,14.328922,15.140136,40.41097,13.361876,73.983376,0.2252900576630533,0.021692337,1.0770305,35491.093653847856,11.14961,219,14.312068,15.1516285,13.368101,3413.9468,3739.0476,4227.7812,3397.033,3605.6252,3852.4124,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.911,0.024,11.189,0.024,11.025,0.021,AAA,222,111,ddd,1,10.747,0.024,10.841,0.023,10.721,0.125,8.8,0.487,hh00,1,AABC,1100,                            ,,,,        ,
3426177329934910464,3426177329934910464,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06072805+2405245 ,                   ,91.86687624850833,24.090138972550456,14.331381,15.154741,147.22263,13.410363,362.39417,0.25497504193721976,0.021393381,1.0035156,35389.98508024787,8.4796715,230,14.3151655,15.152448,13.399128,3077.0637,3327.555,3604.4539,3255.076,3466.3687,3687.5164,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.986,0.032,11.331,0.037,11.107,0.027,EAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3426177497442844544,3426177497442844544,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06072139+2405257 ,                   ,91.8391258251953,24.09047277639366,14.335478,15.193738,317.074,13.401092,361.634,0.23403765403143786,0.021305883,0.9949984,35301.86922270846,9.018969,222,14.317873,15.16394,13.389921,3382.2444,3658.7397,3933.6885,3311.779,3588.6387,3885.8271,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.987,0.019,11.311,0.022,11.087,0.017,EAA,222,111,ccc,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3426165647623846400,3426165647623846400,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06074219+2403305 ,J060742.18+240330.6,91.92580151928962,24.058475953286052,14.361864,15.167255,481.85342,13.48085,686.063,0.22053309466312157,0.022269877,1.1290928,34470.37922372208,7.114967,252,14.343752,15.140037,13.466468,3579.7134,3881.7432,4378.962,3458.78,3756.8118,3993.6833,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.189,0.024,11.53,0.025,11.343,0.02,AAA,222,111,000,1,11.174,0.023,11.242,0.021,11.353,0.214,8.824,,0000,0,AABU,1100,                            ,,,,        ,
3426165785062773632,3426165785062773632,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06074904+2404398 ,J060749.04+240439.9,91.9543566250353,24.07773695536803,14.365319,15.213372,272.7763,13.460289,968.02875,0.21795554647669801,0.021720542,1.058531,34350.4479302997,8.157192,235,14.347536,15.188049,13.44604,3533.4966,3849.829,4162.134,3494.0667,3726.8823,3950.4348,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.094,0.022,11.406,0.023,11.2,0.02,AAA,222,111,000,1,11.088,0.056,11.131,0.053,11.211,0.273,8.402,,h000,0,AABU,1100,                            ,,,,        ,
3426177364294635264,3426177364294635264,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06073153+2405293 ,                   ,91.88138392591439,24.091492136036408,14.389667,15.199005,430.28104,13.498256,711.3938,0.25716760457719623,0.023874931,0.9831969,33566.684282153896,8.856683,231,14.372596,15.176127,13.488607,3033.1292,3290.8765,3538.0215,3188.5112,3418.7942,3671.6074,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.179,0.032,11.518,0.03,11.339,0.026,AAA,222,211,c00,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3426165304026487808,3426165304026487808,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06073638+2403137 ,J060736.38+240313.7,91.90161576687743,24.053810105832795,14.394605,15.1817045,379.71893,13.528099,782.0539,0.2569098718697561,0.022620065,1.0902946,33415.7106099079,8.2195425,254,14.37749,15.155079,13.512726,3046.1057,3294.6702,3520.5464,3272.6218,3523.5955,3830.9321,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.276,0.021,11.654,0.022,11.458,0.017,AAA,222,111,000,1,11.315,0.023,11.386,0.021,11.162,0.17,8.413,,0h00,0,AABU,1100,                            ,,,,        ,
3426271814916387200,3426271814916387200,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06073917+2409098 ,J060739.17+240909.7,91.91325177846926,24.152735525002747,14.401078,15.169341,460.18698,13.538334,790.1524,0.22243960311750738,0.021636074,1.0330979,33197.27901724525,7.2192497,244,14.38461,15.143349,13.524019,3530.4182,3885.6567,4335.4277,3593.675,3801.5212,4031.9033,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.298,0.02,11.661,0.022,11.505,0.021,AAA,222,111,000,1,11.273,0.023,11.353,0.022,11.162,0.178,8.995,,hh00,1,AABU,1100,                            ,,,,        ,
3426165334090305664,3426165334090305664,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06073998+2403546 ,J060739.98+240354.6,91.9166137915414,24.065190329537945,14.406289,15.205801,350.25305,13.534053,480.74316,0.2693482059860381,0.022834195,1.0251068,33077.48608394332,7.2177153,236,14.3885355,15.176493,13.518275,3078.874,3298.6616,3508.1387,3020.4958,3236.0164,3453.235,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.235,0.022,11.603,0.022,11.433,0.018,AAA,222,111,000,1,11.301,0.023,11.398,0.021,11.382,0.22,8.883,,0000,0,AABU,1100,                            ,,,,        ,
3426177433014117120,3426177433014117120,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06072761+2406033 ,                   ,91.86508105380767,24.100937712878228,14.41226,15.18323,190.92697,13.534428,796.72394,0.24293147579038538,0.021567965,1.0627598,32828.27554992264,6.736461,248,14.396747,15.1675,13.520395,3313.4453,3587.2656,3867.8264,3391.6255,3665.283,3952.0444,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.208,0.031,11.626,0.034,11.404,0.028,EAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3426178120208222976,3426178120208222976,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06072918+2408185 ,J060729.18+240818.4,91.87159787724704,24.138481155434395,14.413383,15.131984,88.42579,13.5076065,177.60454,-0.023753744085134323,0.06375805,2.9903219,32470.19055022096,24.992342,231,14.408655,15.102252,13.498278,6501.1973,8822.641,11890.463,4517.637,5753.653,7464.708,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.206,0.024,11.673,0.026,11.409,0.021,AAA,222,111,000,1,11.276,0.023,11.356,0.022,10.909,0.13,8.754,,0000,0,AABU,1100,                            ,,,,        ,
3426165269666731776,3426165269666731776,NGC2158 ,0.1833,0.0021,NGC2158      ,-9223372036854775808,-9223372036854775808,06074272+2402514 ,J060742.72+240251.4,91.92802466868508,24.0476411211806,14.431473,15.20243,330.68167,13.56987,437.35843,0.2766679906787745,0.024429332,1.0346829,32306.72613418956,8.20334,248,14.414134,15.17728,13.557035,2915.986,3122.1816,3379.5793,2976.685,3245.8943,3527.5603,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.295,0.024,11.707,0.023,11.512,0.018,AAA,222,111,000,1,11.405,0.023,11.46,0.021,11.593,0.26,8.437,,0000,0,AABU,1100,                            ,,,,        ,
