dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
664322421538783104,664322421538783104,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667108501979201,08383786+1959231,J083837.83+195923.0,-9223372036854775808,129.65775670769636,19.989748597249783,8.102281,8.2170515,7.937732,5.445897125851683,0.035132036,0.98166233,10698609.278369937,3671.6953,320,8.114049,8.202514,7.9297013,181.16545,182.65366,183.9202,181.50706,182.3613,183.45132,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08383786+1959231,7.7,0.02,7.663,0.029,7.61,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J083837.95+195924.5,8.56,0.66,750.4909505,VAR     ,0.749,,,,,,,,,,
665104346103922688,665104346103922688,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237673808122609745,08462889+2221079,J084628.87+222107.5,-9223372036854775808,131.62042799516584,22.35216592945649,8.146346,8.276899,7.953608,5.4923353301966005,0.032901887,1.0283391,10258608.073856108,3001.474,406,8.159646,8.263792,7.9463506,179.84549,180.93266,182.00934,179.73924,180.72084,181.94408,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08462889+2221079,7.716,0.023,7.651,0.033,7.637,0.024,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
664281494793527936,664281494793527936,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107964911757,08374070+1931063,J083740.68+193106.1,-9223372036854775808,129.41961085503183,19.51841856807936,8.195648,8.328921,8.003296,5.321969618575997,0.03395515,1.0443766,9787575.40475676,3756.146,296,8.210679,8.316782,7.9965906,185.4629,186.7133,188.18893,185.48895,186.44377,187.4665,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08374070+1931063,7.779,0.046,7.731,0.055,7.662,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J083740.66+193106.1,8.58,0.8,,VAR     ,0.339,,,,,,,,,,
664323280532234240,664323280532234240,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667108501979507,08390359+1959591,J083903.55+195959.0,-9223372036854775808,129.76494120852357,19.999748740511134,8.270773,8.389907,8.093035,5.238281455512287,0.03412116,1.0099013,9176959.85461075,2769.988,345,8.28062,8.375589,8.086355,188.68642,190.04398,191.1618,188.69196,189.95506,191.2083,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08390359+1959591,7.86,0.023,7.819,0.016,7.769,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J083903.56+200002.6,9.0,1.01,,VAR     ,0.421,,,,,,,,,,
661401358444641152,661401358444641152,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667112254439856,08411377+1955191,J084113.74+195519.0,-9223372036854775808,130.30739134386658,19.9219953523783,8.276146,8.391122,8.103123,5.418462253108853,0.025570087,0.9566776,9129701.548602445,3098.548,399,8.286225,8.376525,8.095226,182.5533,183.30963,184.24457,182.92334,183.62807,184.38567,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08411377+1955191,7.875,0.021,7.825,0.021,7.774,0.017,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J084113.86+195520.3,8.68,0.83,,VAR     ,0.306,,,,,,,,,,
661156858841945856,661156858841945856,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255068065870,08461546+1942329,J084615.43+194232.8,-9223372036854775808,131.56443687420966,19.709158519061493,8.3222065,8.455543,8.12241,5.4679291422433325,0.023893144,1.0116423,8737803.020754872,2122.9473,475,8.333861,8.443014,8.115634,181.05756,181.80818,182.48827,180.90353,181.70891,182.52063,6377706371515681628,12.9432,0.0043,17,6377706371515681628,15.0537,0.0166,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08461546+1942329,7.894,0.018,7.822,0.021,7.786,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
664591595728990336,664591595728990336,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667109575524458,08351777+2033526,J083517.74+203352.4,-9223372036854775808,128.8240471413587,20.56459638105757,8.363517,8.508753,8.145828,5.425570273316165,0.023382751,0.89719576,8426916.419135252,2723.4578,411,8.373195,8.494132,8.136961,182.30643,183.12447,183.814,182.36436,182.98413,183.75977,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08351777+2033526,7.876,0.019,7.807,0.017,7.761,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
660953998946910720,660953998946910720,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667253994061938,08452053+1852313,J084520.50+185231.3,-9223372036854775808,131.33553626492886,18.875396796050847,8.387611,8.529843,8.173425,5.492367912730847,0.032517932,1.0906453,8232515.355691731,1957.8088,401,8.398536,8.516975,8.166572,179.90552,180.80176,181.83713,179.74278,180.64139,181.90103,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08452053+1852313,7.91,0.019,7.858,0.021,7.835,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
664424641759918720,664424641759918720,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667108502241405,08405247+2015594,J084052.45+201559.3,-9223372036854775808,130.21865817454784,20.266520156363953,8.418925,8.565002,8.198859,5.318597674585926,0.019860078,0.83949494,8005727.630833443,1921.3796,370,8.4288645,8.55008,8.190776,186.11087,186.86629,187.44565,186.21198,186.87721,187.46777,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08405247+2015594,7.911,0.02,7.849,0.045,7.804,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J084052.54+201559.8,8.86,0.71,,VAR     ,0.287,,,,,,,,,,
661767843709723776,661767843709723776,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107965829142,08452825+2023435,J084528.22+202343.2,-9223372036854775808,131.3677273238306,20.39538982800898,8.450657,8.603755,8.222289,5.573395753190734,0.02482584,1.0210836,7770138.386577122,2389.794,477,8.461295,8.590004,8.2139,177.31732,178.16971,179.14261,177.40396,178.25352,179.06042,-9223372036854775808,,,-32768,6377706360778262015,15.8284,0.0257,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08452825+2023435,8.012,0.023,7.906,0.017,7.864,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
