Unnamed: 0,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
2200,442921805235699456,442921805235699456,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03202366+5137060,J032023.69+513705.7,50.09861294912089,51.61835902266392,7.2609167,7.285592,7.2529607,6.184836384047821,0.036014564,1.1064513,23180428.446050107,6466.574,417,7.2745633,7.269662,7.2455964,159.85513,160.74745,161.56439,159.96327,160.83324,161.65794,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03202366+5137060,7.182,0.018,7.23,0.026,7.208,0.027,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1697,249212801592026240,249212801592026240,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03290763+4818104,J032907.66+481810.1,52.281851410611694,48.30290026524514,7.34929,7.369578,7.341098,5.773459145215881,0.033328135,0.86164767,21360998.19607754,7506.51,350,7.363313,7.3563285,7.3349833,171.01265,172.23245,173.23941,171.31883,172.31592,173.20796,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03290763+4818104,7.306,0.043,7.357,0.055,7.32,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1711,249282105184992384,249282105184992384,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03341295+4837029,,53.55401952079276,48.61747465200254,7.3522315,7.384331,7.333875,5.93558888648397,0.034808137,1.0458635,21304590.833930943,6882.2607,422,7.3661838,7.367008,7.3238673,165.90678,167.37146,168.5776,166.8392,167.69498,168.45715,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03341295+4837029,7.206,0.02,7.3,0.049,7.26,0.021,AAA,111,111,ddd,1,,,,,,,,,,,-2147483648,,,,,,,,
1942,441356925312452736,441356925312452736,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03261085+4823026,J032610.87+482302.2,51.54522607721727,48.384042474307385,7.489252,7.520938,7.464098,5.832250594844703,0.031942636,0.87115574,18764859.840475,5735.394,362,7.5040035,7.507217,7.4583282,169.6827,170.38718,171.19861,169.37744,170.25159,171.24088,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03261085+4823026,7.358,0.018,7.429,0.018,7.415,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
2134,441901698963427328,441901698963427328,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03263944+5050474,J032639.47+505047.1,51.66437671987055,50.84650154055637,7.6039004,7.668362,7.530525,5.856347735113664,0.034958158,1.0922457,16905877.619277436,5949.6016,413,7.6172724,7.6504745,7.5180154,168.76984,169.73694,170.79042,168.46979,169.70331,170.70032,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03263944+5050474,7.347,0.026,7.434,0.036,7.382,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1541,243185278842565376,243185278842565376,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03245209+4754544,J032452.11+475454.1,51.21704297457485,47.91512328462949,7.6058197,7.688181,7.49086,5.579305959897959,0.025414784,0.87027955,16841512.036055353,5510.503,371,7.621414,7.673583,7.483087,177.68588,178.2886,178.90298,177.57034,178.34561,179.1152,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03245209+4754544,7.32,0.017,7.334,0.02,7.312,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1832,435609674953487104,435609674953487104,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03194725+4837406,J031947.27+483740.2,49.94690296148721,48.62792030006048,7.6279936,7.6832666,7.564638,5.6441162445962725,0.030967068,0.8671218,16496403.537938043,5382.6562,354,7.6438937,7.6696115,7.5571795,175.0207,176.00581,176.98825,175.19295,176.28548,177.48973,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03194725+4837406,7.459,0.02,7.454,0.021,7.457,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1681,249180572157175808,249180572157175808,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03265024+4754578,J032650.27+475457.6,51.70938398746107,47.916096761514375,7.6962194,7.7689557,7.596687,5.580992401387278,0.027017277,0.84684294,15500381.693958204,4275.9414,369,7.7115107,7.7555895,7.591017,177.26259,178.18704,179.0632,177.25853,178.06767,178.90886,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03265024+4754578,7.439,0.026,7.41,0.031,7.411,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1997,441454919285570816,441454919285570816,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03243004+4908237,J032430.05+490823.3,51.125153201038366,49.13990397741177,7.8583527,7.909903,7.8019314,5.698608585303135,0.033191033,0.962246,13370674.795972336,5038.0327,360,7.8719835,7.896375,7.7963467,173.88887,174.74255,175.51945,173.93561,174.78308,175.8458,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03243004+4908237,7.705,0.023,7.693,0.02,7.693,0.024,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
1890,436477460205283584,436477460205283584,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03184477+4946119,J031844.79+494611.6,49.68654193930296,49.76995451222136,7.924273,7.9965262,7.831062,5.68215419526091,0.030708712,1.1553677,12584799.623035897,5266.105,356,7.9377513,7.983326,7.8231106,174.03209,174.97983,175.86073,174.11278,175.03137,176.37393,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03184477+4946119,7.675,0.021,7.692,0.024,7.664,0.023,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,
