index,eep,age,feh,mass,initial_mass,radius,density,logTeff,Teff,logg,logL,Mbol,delta_nu,nu_max,phase,dm_deep,Gaia_G_DR2Rev_mag,GALEX_NUV_mag,SDSS_u_mag,SDSS_z_mag,2MASS_J_mag,2MASS_H_mag,2MASS_Ks_mag,WISE_W1_mag,WISE_W2_mag,parallax,distance,AV
5450,421.5956574161664,9.915473592702396,-0.10104201609607996,1.0008525071843395,1.0012547292627307,1.2799914445577363,0.6734689726710402,3.769905015558985,5887.51643200746,4.224133297658994,0.2485418154754488,4.118645461311379,99.44616671710213,1876.7854475328877,0.0,0.0018049049931248813,13.806789290757228,18.74370473935518,15.379170325933526,13.683300798989974,12.849044961009296,12.53304836285005,12.499586773279066,12.488076771888363,12.501322837208464,1.113025034230051,898.4523880828633,0.0001359081460308082
5451,417.89008026795443,9.910573481709934,-0.10501831996934874,0.9959220884031686,0.9963049280749481,1.2492161534054063,0.7207839126465517,3.7700460179434785,5889.47159768182,4.243104108474109,0.22798385977557797,4.170040350561055,102.75219358248862,1960.2179846783793,0.0,0.0018475355119994073,13.807338862151347,18.732542989308214,15.376154142461763,13.6842022543496,12.850221386640978,12.534286020233395,12.500949440075773,12.489477976411909,12.502583807947374,1.1395343494604524,877.5514318401027,0.0001408058802689179
5452,417.89008026795443,9.910573481709934,-0.10501831996934874,0.9959220884031686,0.9963049280749481,1.2492161534054063,0.7207839126465517,3.7700460179434785,5889.47159768182,4.243104108474109,0.22798385977557797,4.170040350561055,102.75219358248862,1960.2179846783793,0.0,0.0018475355119994073,13.807338862151347,18.732542989308214,15.376154142461763,13.6842022543496,12.850221386640978,12.534286020233395,12.500949440075773,12.489477976411909,12.502583807947374,1.1395343494604524,877.5514318401027,0.0001408058802689179
5453,415.07725157232426,9.87423261313273,-0.07571611566800539,1.0167981866115496,1.0171684259305855,1.2569008290160295,0.7224865850803737,3.771579157694065,5910.05176726073,4.2468186030476085,0.23945330702028544,4.141366732449286,102.76543203471209,1973.39266611236,0.0,0.00192133470155809,13.807113291784644,18.736239908545297,15.37360715616813,13.688744224909025,12.857988665188648,12.546509747875911,12.513423772626684,12.502404115926886,12.515672981901995,1.1232664252469016,890.2607409281313,0.0002708673706625803
5454,416.0959905945716,9.87488906132417,-0.07838578623436278,1.0180899279188225,1.018465563122992,1.2651049270120793,0.7094084132812514,3.771814751550635,5913.275653301166,4.241714551322299,0.2460475887368772,4.124881028157807,101.86076133070921,1949.8212818810948,0.0,0.0019084347694642081,13.806851539912495,18.72534208488668,15.370359822188178,13.689292469973681,12.858998302158202,12.547984842867834,12.515007667436365,12.503998612148958,12.517059335057814,1.114899405871996,896.9419077032068,0.0001812489216819943
5455,415.186707661509,9.874206600258006,-0.08091360367329764,1.0161961292350554,1.0165673039564478,1.2574362168202877,0.7211467801293532,3.7718492133157544,5913.780244612435,4.24618776734778,0.24089871167378085,4.137753220815549,102.6700441313221,1969.940382872178,0.0,0.0019191308787264978,13.807501603862654,18.72056554081233,15.369503546347131,13.690042765574981,12.85981126308992,12.548759222491782,12.515831505399953,12.504822993711242,12.517802454808347,1.1212736972936117,891.8429125856364,0.0001544100403400168
5456,416.87351971483076,9.873204566553872,-0.07328361468634088,1.021524810439373,1.0219042628095008,1.273783791265873,0.6973432774894801,3.7718440500967665,5913.609834248888,4.237243995828682,0.2521091342937246,4.1097271642656885,101.0150570783776,1929.7629455166561,0.0,0.0018990742853346857,13.806928398480322,18.73315927388655,15.372355554609221,13.689477772693184,12.859269971415054,12.548534158827385,12.515505209307234,12.504524966202142,12.517714929510504,1.1069030753338231,903.4214668690996,0.0001853916276822192
5457,414.37412921445315,9.866222406690072,-0.06917420850890106,1.0211588931877058,1.0215258164394907,1.2577530199343607,0.7240855031136414,3.771881515798747,5914.08684442334,4.248091609862822,0.2412643195797286,4.13683920105068,102.8545697037674,1978.4541354453106,0.0,0.0019257944680268308,13.807260996133968,18.738284538964024,15.373516617580789,13.689844209859483,12.859738692305108,12.549166164871444,12.516125448316242,12.505203890644745,12.518528362566991,1.1205172405885861,892.4449921669383,0.0002534933981751839
5458,415.9966248185198,9.888089808561467,-0.09198897220324045,1.0078057458202003,1.0081806695689195,1.252583195618701,0.7233412146835366,3.7712433543819888,5905.6205228911485,4.2459143393137575,0.23514088174332143,4.152147795641697,102.86573353008211,1969.9857386734611,0.0,0.0019041998986880884,13.807494965945589,18.719880286444706,15.370644617563343,13.688117516656924,12.856600743283707,12.54378919879872,12.510755221239158,12.499571525870985,12.512507687313853,1.1293147693750245,885.4927139166092,0.0001551894378432395
5459,421.10868541185977,9.91044997538012,-0.10511433946930464,1.0023014956009422,1.002702126067623,1.2795182913904195,0.6750239096827162,3.7705188167553634,5895.859801801605,4.2250590012829266,0.25070232059110537,4.113244198522237,99.54399944244858,1879.3408992167058,0.0,0.001808935770278954,13.807261643830817,18.720509268902347,15.3726303476332,13.685692571792842,12.852613828171766,12.53781762873312,12.504617990925892,12.493175628835763,12.506002606426186,1.1100383413633272,900.8697832651616,0.0001755967160079578
5460,422.1883441619532,9.915852735713548,-0.11064431284719703,1.0001775877720211,1.0005838002721088,1.2846214585630191,0.6657220674223395,3.7703867810956933,5894.1246669966895,4.220691854773634,0.2536053077955307,4.105986730511174,98.89087917261075,1860.9253372294104,0.0,0.0017833588285891611,13.807096301376756,18.715408992729927,15.371622972439587,13.685148694020903,12.851771041460406,12.536505187725277,12.503309945474264,12.491799375006838,12.504507749670077,1.1066408550202587,903.635534024897,0.0001498808281730334
5461,420.7127542973203,9.929610277693499,-0.1216250459316491,0.9871308889997326,0.9875273138566005,1.2570440680817083,0.7013111237696323,3.7694452766083946,5881.472102278593,4.233834466338495,0.2309709444446459,4.162572638888386,101.45064197011034,1920.3357964852094,0.0,0.0018284805107462803,13.807066382694654,18.722965753914284,15.375003421075267,13.682108199519517,12.84682158466981,12.528995827154223,12.495601327141111,12.483897511312897,12.496751307641377,1.1365220110392422,879.8773717418762,0.0001110944551003878
